SG_AREA,CO_COMPETENCIA,CO_HABILIDADE,INF_HABILIDADE
MT,4,17,"H17 - Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação."
MT,4,18,"H18 - Avaliar propostas de intervenção na realidade envolvendo variação de grandezas."
MT,5,19,"H19 - Identificar representações algébricas que expressem a relação entre grandezas."
MT,5,20,"H20 - Interpretar gráfico cartesiano que represente relações entre grandezas."
MT,5,21,"H21 - Resolver situação-problema cuja modelagem envolva conhecimentos algébricos."
MT,5,22,"H22 - Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação."
MT,5,23,"H23 - Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos."
MT,6,24,"H24 - Utilizar informações expressas em gráficos ou tabelas para fazer inferências."
MT,6,25,"H25 - Resolver problema com dados apresentados em tabelas ou gráficos."
MT,6,26,"H26 - Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos."
MT,7,27,"H27 - Calcular medidas de tendência central ou de dispersão de um conjunto de dados expressos em uma tabela de frequências de dados agrupados (não em classes) ou em gráficos."
MT,7,28,"H28 - Resolver situação-problema que envolva conhecimentos de estatística e probabilidade."
MT,7,29,"H29 - Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação."
MT,7,30,"H30 - Avaliar propostas de intervenção na realidade utilizando conhecimentos de estatística e probabilidade."
CN,1,1,"H1 – Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos."
CN,1,2,"H2 – Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico."
CN,1,3,"H3 – Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas."
CN,1,4,"H4 – Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade."
CN,2,5,"H5 – Dimensionar circuitos ou dispositivos elétricos de uso cotidiano."
CN,2,6,"H6 – Relacionar informações para compreender manuais de instalação ou utilização de aparelhos, ou sistemas tecnológicos de uso comum."
CN,2,7,"H7 – Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida."
CN,3,8,"H8 – Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos naturais, energéticos ou matérias-primas, considerando processos biológicos, químicos ou físicos neles envolvidos."
CN,3,9,"H9 – Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia para a vida, ou da ação de agentes ou fenômenos que podem causar alterações nesses processos."
CN,3,10,"H10 – Analisar perturbações ambientais, identificando fontes, transporte e(ou) destino dos poluentes ou prevendo efeitos em sistemas naturais, produtivos ou sociais."
CN,3,11,"H11 – Reconhecer benefícios, limitações e aspectos éticos da biotecnologia, considerando estruturas e processos biológicos envolvidos em produtos biotecnológicos."
CN,3,12,"H12 – Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas, considerando interesses contraditórios."
CN,4,13,"H13 – Reconhecer mecanismos de transmissão da vida, prevendo ou explicando a manifestação de características dos seres vivos."
CN,4,14,"H14 – Identificar padrões em fenômenos e processos vitais dos organismos, como manutenção do equilíbrio interno, defesa, relações com o ambiente, sexualidade, entre outros."
CN,4,15,"H15 – Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos em qualquer nível de organização dos sistemas biológicos."
CN,4,16,"H16 – Compreender o papel da evolução na produção de padrões, processos biológicos ou na organização taxonômica dos seres vivos."
CN,5,17,"H17 – Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica."
CN,5,18,"H18 – Relacionar propriedades físicas, químicas ou biológicas de produtos, sistemas ou procedimentos tecnológicos às finalidades a que se destinam."
CN,5,19,"H19 – Avaliar métodos, processos ou procedimentos das ciências naturais que contribuam para diagnosticar ou solucionar problemas de ordem social, econômica ou ambiental."
CN,6,20,"H20 – Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes."
CN,6,21,"H21 – Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo."
CN,6,22,"H22 – Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais."
CN,6,23,"H23 – Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas."
CN,7,24,"H24 – Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas."
CN,7,25,"H25 – Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção."
CN,7,26,"H26 – Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos."
CN,7,27,"H27 – Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios."
CN,8,28,"H28 – Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros."
CN,8,29,"H29 – Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais."
CN,8,30,"H30 – Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente."
CH,1,1,"H1 - Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura."
CH,1,2,"H2 - Analisar a produção da memória pelas sociedades humanas."
CH,1,3,"H3 - Associar as manifestações culturais do presente aos seus processos históricos."
CH,1,4,"H4 - Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura."
CH,1,5,"H5 - Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades."
CH,2,6,"H6 - Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos."
CH,2,7,"H7 - Identificar os significados histórico-geográficos das relações de poder entre as nações."
CH,2,8,"H8 - Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social."
CH,2,9,"H9 - Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial."
CH,2,10,"H10 - Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica."
CH,3,11,"H11 - Identificar registros de práticas de grupos sociais no tempo e no espaço."
CH,3,12,"H12 - Analisar o papel da justiça como instituição na organização das sociedades."
CH,3,13,"H13 - Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder."
CH,3,14,"H14 - Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas."
CH,3,15,"H15 - Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história."
CH,4,16,"H16 - Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social."
CH,4,17,"H17 - Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção."
CH,4,18,"H18 - Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais."
CH,4,19,"H19 - Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano."
CH,4,20,"H20 - Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho."
CH,5,21,"H21 - Identificar o papel dos meios de comunicação na construção da vida social."
CH,5,22,"H22 - Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas."
CH,5,23,"H23 - Analisar a importância dos valores éticos na estruturação política das sociedades."
CH,5,24,"H24 - Relacionar cidadania e democracia na organização das sociedades."
CH,5,25,"H25 – Identificar estratégias que promovam formas de inclusão social."
CH,6,26,"H26 - Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem."
CH,6,27,"H27 - Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos."
CH,6,28,"H28 - Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos."
CH,6,29,"H29 - Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas."
CH,6,30,"H30 - Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas."
